Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
89	216	1.81	68	-36	10	68	-31.1	3.53	55.2	62	-38	4	28
88	197	2.36	10	-12	-20	9.01	-11	-18.5	98.2	10	-10	-20	50.1
87	193	2.48	-62	-4	50	-60.4	-2.14	46.9	58.2	-58	-2	50	30.5
86	65	2.08	-50	-82	32	-45.1	-85.8	28	28.5	-48	-82	26	16.3
85	64	1.89	-10	-10	-18	-10.7	-9.57	-23.7	68.3	-6	-6	-28	44.1
84	56	1.81	-58	26	26	-59.1	26.4	26.6	45.6	-58	26	24	26.8
83	35	2.09	14	-94	38	15.8	-94.7	34.6	28.7	14	-94	32	16.7
82	34	1.9	-2	-92	38	-2.87	-90.5	39.7	49.8	-2	-88	40	30.8
81	34	1.85	12	10	-22	12.1	9.71	-22.8	29.7	14	8	-22	20.6
80	30	1.66	-48	-4	-2	-47.5	-4.67	1.06	39.5	-48	-4	0	31.2
79	28	2.07	-4	-100	24	-9.02	-100	24.2	23.8	-4	-100	24	16.2
78	26	1.55	10	-54	62	7.94	-52.9	61.6	39.2	6	-54	66	29.1
77	26	1.61	26	-6	-16	26.6	-5	-17.7	34.4	28	0	-20	21.4
76	24	1.46	-56	44	6	-54.2	42.1	6.58	25.4	-50	40	4	18.5
75	24	1.67	22	-4	34	22	-3.84	34.9	15.9	22	-2	34	13.3
74	21	1.73	-34	-34	2	-34.5	-34.9	2.28	17.6	-34	-34	2	14
73	21	1.61	-68	12	18	-68	8.85	17.9	35.1	-66	10	18	22.2
72	20	1.82	-32	-86	44	-31.9	-85.9	42.5	33.2	-34	-84	42	20.8
71	19	1.87	-42	-44	-30	-41.7	-44.4	-29.8	35.4	-42	-44	-30	25.7
70	19	1.83	-70	-16	46	-68.9	-15.9	46.1	18	-68	-16	46	11.8
69	18	1.55	28	20	-30	27.3	21.8	-29.2	21.6	28	20	-30	17
68	18	1.76	72	-4	14	72.9	-5.82	12.2	26.9	72	-4	12	18.8
67	16	1.7	-10	66	34	-9.87	67.4	33.2	21.8	-10	66	32	14
66	14	1.55	-18	12	52	-17.4	11.7	52	23	-18	12	54	20.1
65	14	2.02	-20	-80	56	-19.3	-79.1	55.8	38.7	-18	-80	56	30.9
64	12	1.58	-32	-4	36	-31	-3.35	34.6	13.7	-32	-4	36	11.6
63	12	1.92	-72	-10	10	-72	-12.5	11.8	25.2	-72	-16	14	21
62	12	1.87	-30	44	-22	-31.2	44.1	-21.8	33.5	-30	44	-22	25
61	12	1.67	-68	-2	12	-68.5	-1.53	12.3	27	-68	-2	12	21
60	12	1.57	28	-42	24	27.3	-40.9	25.6	17.2	26	-42	24	14.5
59	10	1.61	52	22	-36	51.8	22.8	-37.1	23.1	52	24	-36	17.3
58	10	1.77	-6	28	-28	-5.64	29	-29.2	16.6	-6	28	-28	12.4
57	10	1.47	34	-4	24	34.4	-3.61	26.6	15.7	36	-2	30	13
56	8	1.73	-12	-90	-46	-11.7	-89.8	-44.8	15.3	-12	-88	-46	13.6
55	8	1.68	-12	-34	-56	-12.2	-34.5	-57	83	-12	-34	-56	64.8
54	7	1.57	46	12	-14	46.3	12.6	-14.1	33.8	46	12	-14	29.9
53	7	1.92	16	-2	-38	15.7	-2.54	-37.2	25.1	16	-2	-38	21.1
52	7	1.76	16	-86	50	16.9	-85.7	49.4	20.2	16	-86	48	16.5
51	6	1.49	22	64	36	23.7	64.3	34.4	20	24	64	34	17
50	6	1.73	-54	22	-38	-53.7	20.7	-37.3	19.3	-54	22	-38	17.5
49	6	1.39	6	-70	38	6.99	-68.4	37.7	39.1	6	-70	38	36.4
48	5	1.5	28	-6	-8	27.2	-6	-9.55	18.7	28	-6	-8	17.6
47	5	1.42	-16	-28	-44	-15.2	-28.8	-44	48.9	-14	-28	-44	41.7
46	5	1.44	-58	-58	52	-57.6	-59.2	50.8	12.8	-56	-60	50	10.4
45	5	1.36	10	-98	26	10.8	-98.8	24	28.1	10	-98	24	26
