Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	5	4.02	-29.2	-84.6	9.52	-32.6	-84.5	9.61	1.9	-35.9	-84.4	9.68	1.56
10	5	3.56	24.8	-92.6	9.4	25.6	-91.3	9.15	1.81	28.2	-92.7	9.32	1.51
9	3	3.45	-42.6	-69.5	-4.02	-43.7	-68.4	-4.18	1.54	-46	-69.4	-3.94	1.29
8	2	3.92	-44.3	-26.4	79	-44.3	-25	78.7	1.3	-44.3	-26.4	79	1.29
7	2	3.37	48.6	-75.4	-5.59	48.6	-73.8	-5.87	1.48	48.6	-75.4	-5.59	1.41
6	2	3.97	28.1	-87.9	-2.83	29.7	-87.9	-2.87	1.74	31.5	-88	-2.91	1.61
5	1	3.16	-30.4	5.92	73	-30.4	5.92	73	1.89	-30.4	5.92	73	1.89
4	1	3.13	-20.7	-1.86	45.8	-20.7	-1.86	45.8	0.752	-20.7	-1.86	45.8	0.752
3	1	3.13	35.2	-84.7	19	35.2	-84.7	19	1.13	35.2	-84.7	19	1.13
2	1	3.87	-36.1	-86.1	-1.33	-36.1	-86.1	-1.33	1.64	-36.1	-86.1	-1.33	1.64
1	1	3.57	27.5	-92.2	-52.9	27.5	-92.2	-52.9	0.801	27.5	-92.2	-52.9	0.801
