Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
20	27	2.83e-08	7.55	7.47	19	40	18	18.8	40.3	17.9	420	18	42	19	243
19	13	2.45e-08	7.61	7.49	16	25	20	15.9	25	19.9	222	16	25	20	159
18	11	1.28e-07	6.89	7.26	49	34	20	48.8	34.5	19.4	194	50	34	20	153
17	10	3.57e-06	5.45	6.76	21	10	11	21.7	10.2	10.6	323	23	9	10	226
16	10	0.000205	3.69	6.1	23	44	13	23.4	43.8	13.6	235	23	44	13	186
15	8	0.000301	3.52	6.03	36	37	23	35.9	36.8	22.5	222	35	37	23	167
14	6	0.000798	3.1	5.86	25	9	14	24.2	9.49	13.7	323	24	9	14	236
13	6	1.66e-05	4.78	6.52	44	33	22	44	33.2	22	200	44	33	22	166
12	6	6.52e-05	4.19	6.3	23	35	22	22.9	35	21.5	243	23	35	22	175
11	5	0.00012	3.92	6.19	15	20	22	16	20.2	21.2	241	15	21	22	181
10	3	0.00361	2.44	5.58	20	16	20	20.3	16	20.3	187	20	16	20	170
9	2	0.0266	1.58	5.18	21	14	9	21.5	14	9	198	22	14	9	197
8	2	0.0403	1.39	5.09	15	24	13	15.5	24	13	157	15	24	13	148
7	2	0.00755	2.12	5.43	16	42	16	16	42.5	16	238	16	42	16	198
6	2	0.00053	3.28	5.93	52	37	17	52	37.5	17	141	52	37	17	139
5	2	0.000803	3.1	5.86	13	23	18	13	22.5	18	182	13	22	18	170
4	2	0.0135	1.87	5.32	31	39	22	31.5	39	22	213	32	39	22	203
3	2	0.0116	1.94	5.35	17	19	24	17.5	18.5	23.5	409	18	18	23	268
2	1	0.000373	3.43	5.99	13	23	22	13	23	22	117	13	23	22	117
1	1	0.0176	1.75	5.26	21	41	23	21	41	23	221	21	41	23	221
